HomePrice,Ratio
410000,0.542
405000,0.5255
305000,0.5396
235000,0.5284
395000,0.5692
420000,0.5353
240000,0.3232
374000,0.4633
330000,0.5789
171000,0.4995
280000,0.6479
475000,0.3646
469000,0.4301
465000,0.3649
397500,0.4042
418000,0.3185
305000,0.6089
326287,0.7036
208000,0.5188
272736,0.4033
201500,0.6303
495000,0.4958
530000,0.4352
259000,0.3987
285000,0.6503
217000,0.4752
242000,0.5517
358000,0.4619
258000,0.536
317500,0.5906
251000,0.6309
555000,0.4343
325000,0.5897
695000,0.3414
223612,0.4433
207963,0.5345
216000,0.4879
154500,0.5089
216900,0.314
203000,0.4909
156000,0.3549
300000,0.5571
280000,0.6144
360000,0.523
310000,0.4938
220000,0.5046
190500,0.4814
398000,0.476
195000,0.5256
254000,0.6285
570000,0.5317
425000,0.4666
485000,0.6778
235500,0.5786
295000,0.493
630000,0.3343
561000,0.3723
271000,0.7008
345900,0.7514
522000,0.4782
250900,0.5095
345000,0.521
415000,0.5219
310000,0.6744
141900,0.5786
538000,0.3999
235000,0.5197
220000,0.5381
237000,0.44
250000,0.52
250000,0.52
214900,0.361
189900,0.4331
279000,0.4984
247100,0.6275
189900,0.5414
224900,0.5044
236900,0.5282
298900,0.4761
194900,0.5275
250000,0.4435
450000,0.3816
505000,0.3565
265000,0.4768
250000,0.4456
275000,0.3836
282000,0.374
305000,0.5646
379000,0.5642
382000,0.5598
199900,0.7232
264900,0.627
264900,0.5548
301900,0.4563
285000,0.5397
275000,0.6953
275000,0.625
260000,0.6017
359000,0.5011
235000,0.5612
330000,0.4323
257900,0.5699
280000,0.7418
450000,0.3815
270000,0.6599
494000,0.3615
240000,0.6491
232500,0.5586
336000,0.4596
90000,0.4919
500000,0.5191
143500,0.6495
395000,0.5712
215000,0.4367
510000,0.3346
450000,0.4595
247000,0.6358
256000,0.545
196000,0.7118
271900,0.6709
239900,0.6064
710000,0.38
700000,0.3099
379000,0.625
250000,0.4501
259900,0.3652
257500,0.3999
246000,0.6103
480000,0.4121
341000,0.5876
315000,0.588
272500,0.5574
325000,0.4926
309000,0.5181
355000,0.5351
520000,0.5911
350000,0.552
800000,0.3535
170000,0.4347
260000,0.3934
275000,0.615
685000,0.4554
232000,0.5656
289000,0.5199
290000,0.3362
175000,0.5572
173000,0.604
270000,0.618
265000,0.4748
352000,0.4231
450000,0.3897
255000,0.6066
218500,0.5324
235000,0.3569
306000,0.5867
385000,0.4969
415000,0.4321
325000,0.6263
452000,0.4922
386303,0.374
525215,0.2972
630000,0.6342
592595,0.6742
750000,0.3163
525000,0.5766
365000,0.6331
330000,0.5502
378350,0.4443
462000,0.3471
583900,0.3743
450000,0.5237
950000,0.2856
503000,0.4075
275000,0.6295
225000,0.6293
155000,0.4539
380000,0.4532
375000,0.5828
241000,0.4819
236000,0.4646
315000,0.5802
299000,0.6309
242000,0.3279
235000,0.3618
705000,0.6915
500000,0.3891
440000,0.3981
160000,0.6524
238000,0.5777
495000,0.4367
239000,0.6175
240952,0.6128
239900,0.294
176900,0.4254
259900,0.5217
259900,0.5429
245000,0.6416
174900,0.5203
182000,0.5102
249000,0.6313
174900,0.2758
200000,0.6165
190000,0.324
450000,0.6729
265000,0.5517
215000,0.6957
265000,0.3329
250000,0.525
125000,0.4
229000,0.3702
223000,0.3801
239000,0.3684
232500,0.4355
185000,0.6248
157000,0.2751
108900,0.3475
101900,0.5908
139900,0.4071
275000,0.4944
505000,0.3988
315000,0.5314
505000,0.6173
142500,0.5247
151250,0.3265
217900,0.7193
164500,0.3646
190000,0.6546
270000,0.5805
217500,0.468
270000,0.568
197000,0.4637
205000,0.5936
161900,0.4145
173000,0.4678
475000,0.3982
275000,0.6216
215000,0.7415
700000,0.4295
445000,0.5733
765000,0.2697
345000,0.5639
350000,0.5957
580000,0.3703
325900,0.6183
197500,0.4747
261000,0.6389
360000,0.5307
450000,0.3834
175000,0.6351
194000,0.5729
445000,0.5098
320000,0.6286
320000,0.6264
320000,0.4326
320000,0.2934
262500,0.4282
277000,0.4504
350000,0.6218
300000,0.3237
360000,0.5658
585000,0.5325
375000,0.4681
290000,0.5912
50000,0.27
165000,0.2639
297000,0.4875
179000,0.5011
276500,0.5598
510000,0.6057
360000,0.708
700000,0.5121
189000,0.6115
377000,0.6163
200000,0.3653
260000,0.3524
575000,0.5395
650000,0.4609
325000,0.3462
325000,0.3462
530000,0.5444
126000,0.3305
112500,0.5549
204000,0.326
123900,0.5293
124000,0.4074
227000,0.3175
117500,0.5819
227000,0.3175
112500,0.2931
126000,0.3305
111000,0.4788
128000,0.418
130000,0.5045
130000,0.2648
122000,0.3413
198900,0.4857
121000,0.3441
150000,0.665
153400,0.6503
152500,0.6541
163000,0.3406
153000,0.3441
147000,0.7679
225000,0.3549
417500,0.7156
399000,0.5739
235000,0.4277
224900,0.3741
212500,0.3554
180000,0.6076
450000,0.4143
293900,0.5187
524900,0.4625
295000,0.5594
310000,0.4877
320000,0.5157
267500,0.4394
915000,0.3918
250000,0.4614
280000,0.573
265000,0.5094
255000,0.5294
120000,0.6678
49000,0.7653
115000,0.7005
105000,0.7711
665000,0.5637
140500,0.6364
950000,0.5363
1000000,0.4687
130000,0.3073
80000,0.4994
262000,0.5512
255000,0.6472
220000,0.5199
815000,0.5445
275000,0.4659
256000,0.5005
925000,0.4837
415000,0.522
417500,0.5191
550000,0.4256
231000,0.425
325000,0.4986
167000,0.485
552000,0.3302
599900,0.6645
609000,0.5684
255000,0.4902
155000,0.4309
522500,0.4785
495000,0.7542
485000,0.4796
335000,0.492
930000,0.744
338500,0.4801
315000,0.5159
110000,0.5662
150000,0.4325
143750,0.4513
475000,0.3383
235000,0.4541
280500,0.3926
176500,0.5387
550000,0.6112
244000,0.4648
335000,0.6997
208000,0.5264
200000,0.5475
169000,0.5804
167000,0.5874
